gene,annotation,symbol
AT1G01470,Late embryogenesis abundant protein(LEA14),LEA14
AT1G01480,1-amino-cyclopropane-1-carboxylate synthase 2(ACS2),ACS2
AT1G01490,Heavy metal transport/detoxification superfamily protein(AT1G01490),AT1G01490
AT1G01500,Erythronate-4-phosphate dehydrogenase family protein(AT1G01500),AT1G01500
AT1G01510,NAD(P)-binding Rossmann-fold superfamily protein(AN),AT1G01510
AT1G01520,Homeodomain-like superfamily protein(ASG4),ASG4
AT1G01530,AGAMOUS-like 28(AGL28),AGL28
AT1G01540,Protein kinase superfamily protein(AT1G01540),AT1G01540
AT1G01550,BPS1-like protein (DUF793)(BPS1),BPS1
AT1G01560,MAP kinase 11(MPK11),MPK11
AT1G01570,transferring glycosyl group transferase (DUF604)(AT1G01570),AT1G01570
AT1G01580,ferric reduction oxidase 2(FRO2),FRO2
AT1G01590,ferric reduction oxidase 1(FRO1),FRO1
AT1G01600,"cytochrome P450, family 86, subfamily A, polypeptide 4(CYP86A4)",CYP86A4
AT1G01610,glycerol-3-phosphate acyltransferase 4(GPAT4),GPAT4
AT1G01620,plasma membrane intrinsic protein 1C(PIP1C),PIP1C
AT1G01630,Sec14p-like phosphatidylinositol transfer family protein(AT1G01630),AT1G01630
AT1G01640,BTB/POZ domain-containing protein(AT1G01640),AT1G01640
AT1G01650,SIGNAL PEPTIDE PEPTIDASE-LIKE 4(SPPL4),SPPL4
AT1G01660,RING/U-box superfamily protein(AT1G01660),AT1G01660
AT1G01670,RING/U-box superfamily protein(AT1G01670),AT1G01670
AT1G01680,plant U-box 54(PUB54),PUB54
AT1G01690,putative recombination initiation defects 3(PRD3),PRD3
AT1G01695,Phosphatidylinositol N-acetyglucosaminlytransferase subunit P-like protein(TRM33),TRM33
AT1G01700,RHO guanyl-nucleotide exchange factor 2(ROPGEF2),ROPGEF2
AT1G01710,acyl-CoA thioesterase II(AT1G01710),AT1G01710
AT1G01720,NAC (No Apical Meristem) domain transcriptional regulator superfamily protein(ATAF1),ATAF1
AT1G01725,adenylosuccinate synthetase(AT1G01725),AT1G01725
AT1G01730,hypothetical protein(AT1G01730),AT1G01730
AT1G01740,kinase with tetratricopeptide repeat domain-containing protein(BSK4),BSK4
AT1G01750,actin depolymerizing factor 11(ADF11),ADF11
AT1G01760,denosine deaminases acting on tRNA(AT1G01760),AT1G01760
AT1G01770,propionyl-CoA carboxylase(AT1G01770),AT1G01770
AT1G01780,GATA type zinc finger transcription factor family protein(PLIM2b),PLIM2b
AT1G01790,K+ efflux antiporter 1(KEA1),KEA1
AT1G01800,NAD(P)-binding Rossmann-fold superfamily protein(AT1G01800),AT1G01800)
AT1G01810,hypothetical protein(AT1G01810),AT1G01810
AT1G01820,peroxin 11c(PEX11C),PEX11C
AT1G01830,ARM repeat superfamily protein(AT1G01830),AT1G01830
AT1G01840,AP2-like ethylene-responsive transcription factor SNZ(AT1G01840),AT1G01840
AT1G01860,Ribosomal RNA adenine dimethylase family protein(PFC1),PFC1
AT1G01880,5'-3' exonuclease family protein(AT1G01880),AT1G01880
AT1G01900,subtilase family protein(SBTI1.1),SBTI1.1
AT1G01910,P-loop containing nucleoside triphosphate hydrolases superfamily protein(AT1G01910),AT1G01910
AT1G01920,SET domain-containing protein(AT1G01920),AT1G01920
AT1G01930,zinc finger protein-like protein(AT1G01930),AT1G01930
AT1G01940,Cyclophilin-like peptidyl-prolyl cis-trans isomerase family protein(AT1G01940),AT1G01940
AT1G01950,armadillo repeat kinesin 2(ARK2),ARK2
AT1G01960,SEC7-like guanine nucleotide exchange family protein(EDA10),EDA10
AT1G01970,Tetratricopeptide repeat (TPR)-like superfamily protein(AT1G01970),AT1G01970
AT1G01980,FAD-binding Berberine family protein(AT1G01980),AT1G01980
AT1G01990,hypothetical protein(AT1G01990),AT1G01990
AT1G02000,UDP-D-glucuronate 4-epimerase 2(GAE2),GAE2
AT1G02010,secretory 1A(SEC1A),SEC1A
AT1G02020,nitroreductase family protein(AT1G02020),AT1G02020
AT1G02030,C2H2-like zinc finger protein(AT1G02030),AT1G02030
AT1G02050,Chalcone and stilbene synthase family protein(LAP6),LAP6
AT1G02060,Tetratricopeptide repeat (TPR)-like superfamily protein(AT1G02060),AT1G02060
AT1G02065,squamosa promoter binding protein-like 8(SPL8),SPL8
AT1G02070,zinc ion-binding protein(AT1G02070),AT1G02070
AT1G02080,transcription regulator(AT1G02080),AT1G02080
AT1G02090,Proteasome component (PCI) domain protein(FUS5),FUS5
AT1G02100,Leucine carboxyl methyltransferase(SBI1),SBI1
AT1G02110,bZIP domain class transcription factor (DUF630 and DUF632)(AT1G02110),AT1G02110
AT1G02120,GRAM domain family protein(VAD1),VAD1
AT1G02130,RAS 5(RA-5),RA-5
AT1G02140,mago nashi family protein(MAGO),MAGO
AT1G02145,homolog of asparagine-linked glycosylation 12(ALG12),ALG12
AT1G02150,Tetratricopeptide repeat (TPR)-like superfamily protein(AT1G02150),AT1G02150
AT1G02160,Cox19 family protein (CHCH motif)(AT1G02160),AT1G02160
AT1G02170,metacaspase 1(MC1),MC1
AT1G02180,ferredoxin-like protein(AT1G02180),AT1G02180
AT1G02190,Fatty acid hydroxylase superfamily(AT1G02190),AT1G02190
AT1G02205,Fatty acid hydroxylase superfamily(CER1),CER1
AT1G02220,NAC domain containing protein 3(NAC003),NAC003
AT1G02230,NAC domain containing protein 4(NAC004),NAC004
AT1G02250,NAC domain containing protein 5(NAC005),NAC005
AT1G02260,Divalent ion symporter(AT1G02260),AT1G02260
AT1G02270,Calcium-binding endonuclease/exonuclease/phosphatase family(AT1G02270),AT1G02270
AT1G02280,translocon at the outer envelope membrane of chloroplasts 33(TOC33),TOC33
AT1G02290,hypothetical protein(AT1G02290),AT1G02290
AT1G02300,Cysteine proteinases superfamily protein(AT1G02300),AT1G02300
AT1G02305,Cysteine proteinases superfamily protein(AT1G02305),AT1G02305
AT1G02310,Glycosyl hydrolase superfamily protein(MAN1),MAN1
AT1G02330,integrator complex subunit-like protein(AT1G02330),AT1G02330
AT1G02335,germin-like protein subfamily 2 member 2 precursor(GL22),GL22
AT1G02340,basic helix-loop-helix (bHLH) DNA-binding superfamily protein(HFR1),HFR1
AT1G02350,protoporphyrinogen oxidase-like protein(AT1G02350),AT1G02350
AT1G02360,Chitinase family protein(AT1G02360),AT1G02360
AT1G02370,Tetratricopeptide repeat (TPR)-like superfamily protein(AT1G02370),AT1G02370
AT1G02380,transmembrane protein(AT1G02380),AT1G02380
AT1G02390,glycerol-3-phosphate acyltransferase 2(GPAT2),GPAT2
AT1G02400,gibberellin 2-oxidase 6(GA2OX6),GA2OX6
AT1G02405,proline-rich family protein(AT1G02405),AT1G02405
AT1G02410,cytochrome c oxidase assembly protein CtaG / Cox11 family(AT1G02410),AT1G02410
AT1G02420,Pentatricopeptide repeat (PPR) superfamily protein(AT1G02420),AT1G02420
AT1G02430,ADP-ribosylation factor D1B(ARFD1B),ARFD1B
AT1G02440,ADP-ribosylation factor D1A(ARFD1A),ARFD1A
AT1G02450,NIM1-interacting 1(NIMIN1),NIMIN1
AT1G02460,Pectin lyase-like superfamily protein(AT1G02460),AT1G02460
AT1G02470,Polyketide cyclase/dehydrase and lipid transport superfamily protein(AT1G02470),AT1G02470
AT1G02475,Polyketide cyclase/dehydrase and lipid transport superfamily protein(AT1G02475),AT1G02475
AT1G02490,hypothetical protein(AT1G02490),AT1G02490
AT1G02500,S-adenosylmethionine synthetase 1(SAM1),SAM1
AT1G02520,P-glycoprotein 11(ABCB11),ABCB11
AT1G02530,P-glycoprotein 12(ABCB12),ABCB12
AT1G02540,hypothetical protein(AT1G02540),AT1G02540
AT1G02560,nuclear encoded CLP protease 5(CLPP5),CLPP5
AT1G02570,transmembrane protein(AT1G02570),AT1G02570
AT1G02575,transmembrane protein(AT1G02575),AT1G02575
AT1G02580,SET domain-containing protein(MEA),MEA
AT1G02610,RING/FYVE/PHD zinc finger superfamily protein(AT1G02610),AT1G02610
AT1G02620,Ras-related small GTP-binding family protein(AT1G02620),AT1G02620
AT1G02630,Nucleoside transporter family protein(AT1G02630),AT1G02630
AT1G02640,beta-xylosidase 2(BXL2),BXL2
AT1G02650,Tetratricopeptide repeat (TPR)-like superfamily protein(AT1G02650),AT1G02650
AT1G02660,alpha/beta-Hydrolases superfamily protein(AT1G02660),AT1G02660
AT1G02670,P-loop containing nucleoside triphosphate hydrolases superfamily protein(AT1G02670),AT1G02670
AT1G02680,TBP-associated factor 13(TAF13),TAF13
AT1G02690,importin alpha isoform 6(IMPA-6),IMPA-6
AT1G02700,GATA transcription factor-like protein(AT1G02700),AT1G02700
AT1G02710,glycine-rich protein(AT1G02710),AT1G02710
AT1G02720,galacturonosyltransferase 5(GATL5),GATL5
AT1G02730,cellulose synthase-like D5(CSLD5),CSLD5
AT1G02740,MRG family protein(AT1G02740),AT1G02740
AT1G02750,Drought-responsive family protein(AT1G02750),AT1G02750
AT1G02770,hypothetical protein(AT1G02770),AT1G02770
AT1G02780,Ribosomal protein L19e family protein(emb2386),emb2386
AT1G02790,polygalacturonase 4(PGA4),PGA4
AT1G02800,cellulase 2(CEL2),CEL2
AT1G02810,Plant invertase/pectin methylesterase inhibitor superfamily(AT1G02810),AT1G02810
AT1G02813,"pectinesterase (Protein of unknown function, DUF538)(AT1G02813)",AT1G02813
AT1G02816,"pectinesterase (Protein of unknown function, DUF538)(AT1G02816)",AT1G02816
AT1G02820,Late embryogenesis abundant 3 (LEA3) family protein(LEA3),LEA3
AT1G02830,Ribosomal L22e protein family(AT1G02830),AT1G02830
AT1G02840,RNA-binding (RRM/RBD/RNP motifs) family protein(SR34),SR34
AT1G02850,beta glucosidase 11(BGLU11),BGLU11
AT1G02860,SPX (SYG1/Pho81/XPR1) domain-containing protein(NLA),NLA
AT1G02870,nucleolar-like protein(AT1G02870),AT1G02870
AT1G02880,thiamin pyrophosphokinase1(TPK1),TPK1
AT1G02890,AAA-type ATPase family protein(AT1G02890),AT1G02890
AT1G02900,rapid alkalinization factor 1(RALF1),RALF1
AT1G02910,tetratricopeptide repeat (TPR)-containing protein(LPA1),LPA1
AT1G02920,glutathione S-transferase 7(GSTF7),GSTF7
AT1G02930,glutathione S-transferase 6(GSTF6),GSTF6
AT1G02940,glutathione S-transferase (class phi) 5(GSTF5),GSTF5
AT1G02950,glutathione S-transferase F4(GSTF4),GSTF4
AT1G02960,kinetochore protein(AT1G02960),AT1G02960
AT1G02970,WEE1-like kinase(WEE1),WEE1
AT1G02980,cullin 2(CUL2),CUL2
AT1G02990,hypothetical protein(AT1G02990),AT1G02990
AT1G03000,peroxin 6(PEX6),PEX6
AT1G03010,Phototropic-responsive NPH3 family protein(AT1G03010),AT1G03010
AT1G03020,Thioredoxin superfamily protein(AT1G03020),AT1G03020
AT1G03030,P-loop containing nucleoside triphosphate hydrolases superfamily protein(AT1G03030),AT1G03030
AT1G03040,basic helix-loop-helix (bHLH) DNA-binding superfamily protein(AT1G03040),AT1G03040
AT1G03055,beta-carotene isomerase D27-like protein(D27),D27
AT1G03060,BEACH-DOMAIN HOMOLOG A1(SPI),SPI
AT1G03070,Bax inhibitor-1 family protein(AT1G03070),AT1G03070
AT1G03080,kinase interacting (KIP1-like) family protein(NET1D),NET1D
AT1G03090,methylcrotonyl-CoA carboxylase alpha chain(MCCA),MCCA
AT1G03100,Pentatricopeptide repeat (PPR) superfamily protein(AT1G03100),AT1G03100
AT1G03106,hypothetical protein(AT1G03106),AT1G03106
AT1G03110,Transducin/WD40 repeat-like superfamily protein(TRM82),TRM82
AT1G03120,responsive to abscisic acid 28(RAB28),RAB28
AT1G03130,photosystem I subunit D-2(PSAD-2),PSAD-2
AT1G03140,splicing factor Prp18 family protein(AT1G03140),AT1G03140
AT1G03150,Acyl-CoA N-acyltransferases (NAT) superfamily protein(AT1G03150),AT1G03150
AT1G03160,FZO-like protein(FZL),FZL
AT1G03170,FANTASTIC four-like protein (DUF3049)(FAF2),FAF2
AT1G03180,non-structural protein(AT1G03180),AT1G03180
AT1G03190,RAD3-like DNA-binding helicase protein(UVH6),UVH6
AT1G03200,hypothetical protein(AT1G03200),AT1G03200
AT1G03210,Phenazine biosynthesis PhzC/PhzF protein(AT1G03210),AT1G03210
AT1G03220,Eukaryotic aspartyl protease family protein(AT1G03220),AT1G03220
AT1G03230,Eukaryotic aspartyl protease family protein(AT1G03230),AT1G03230
AT1G03240,hypothetical protein(AT1G03240),AT1G03240
AT1G03250,R3H domain protein(AT1G03250),AT1G03250
AT1G03260,SNARE associated Golgi protein family(AT1G03260),AT1G03260
AT1G03270,CBS domain protein with a domain protein (DUF21)(AT1G03270),AT1G03270
AT1G03280,"Transcription factor TFIIE, alpha subunit(AT1G03280)",AT1G03280
AT1G03290,ELKS/Rab6-interacting/CAST family protein(AT1G03290),AT1G03290
AT1G03300,agenet domain protein (DOMAIN OF UNKNOWN FUNCTION 724 1)(ATDUF1),ATDUF1
AT1G03310,debranching enzyme 1(DBE1),DBE1
AT1G03320,hypothetical protein(AT1G03320),AT1G03320
AT1G03330,Small nuclear ribonucleoprotein family protein(LSM2),LSM2
AT1G03340,hypothetical protein(AT1G03340),AT1G03340
AT1G03350,BSD domain-containing protein(AT1G03350),AT1G03350
AT1G03360,ribosomal RNA processing 4(RRP4),RRP4
AT1G03365,RING/U-box superfamily protein(AT1G03365),AT1G03365
AT1G03370,C2 calcium/lipid-binding and GRAM domain containing protein(AT1G03370),AT1G03370
AT1G03380,autophagy 18 G-like protein(ATG18G),ATG18G
AT1G03390,HXXXD-type acyl-transferase family protein(AT1G03390),AT1G03390
AT1G03400,2-oxoglutarate (2OG) and Fe(II)-dependent oxygenase superfamily protein(AT1G03400),AT1G03400
AT1G03410,2-oxoglutarate (2OG) and Fe(II)-dependent oxygenase superfamily protein(2A6),2A6
AT1G03430,histidine-containing phosphotransfer factor 5(AHP5),AHP5
AT1G03440,Leucine-rich repeat (LRR) family protein(AT1G03440),AT1G03440
AT1G03445,Serine/threonine protein phosphatase family protein(BSU1),BSU1
AT1G03457,RNA-binding (RRM/RBD/RNP motifs) family protein(AT1G03457),AT1G03457
AT1G03470,Kinase interacting (KIP1-like) family protein(NET3A),NET3A
AT1G03475,Coproporphyrinogen III oxidase(LIN2),LIN2
AT1G03495,HXXXD-type acyl-transferase family protein(AT1G03495),AT1G03495
AT1G03506,ncRNA(AT1G03506),AT1G03506
AT1G03510,Tetratricopeptide repeat (TPR)-like superfamily protein(AT1G03510),AT1G03510)
AT1G03520,"Core-2/I-branching beta-1,6-N-acetylglucosaminyltransferase family protein(AT1G03520)",AT1G03520
AT1G03530,nuclear assembly factor 1(NAF1),NAF1
AT1G03540,Pentatricopeptide repeat (PPR-like) superfamily protein(AT1G03540),AT1G03540
AT1G03550,Secretory carrier membrane protein (SCAMP) family protein(SCAMP4),SCAMP4
AT1G03560,Pentatricopeptide repeat (PPR-like) superfamily protein(AT1G03560),AT1G03560
AT1G03580,miscRNA(AT1G03580),AT1G03580
AT1G03590,Protein phosphatase 2C family protein(AT1G03590),AT1G03590
AT1G03600,photosystem II family protein(PSB27),PSB27
AT1G03610,plant/protein (DUF789)(AT1G03610),AT1G03610
AT1G03620,ELMO/CED-12 family protein(AT1G03620),AT1G03620
AT1G03630,protochlorophyllide oxidoreductase C(POR C),POR C
AT1G03650,Acyl-CoA N-acyltransferases (NAT) superfamily protein(AT1G03650),AT1G03650
AT1G03660,Ankyrin-repeat containing protein(AT1G03660),AT1G03660
AT1G03680,thioredoxin M-type 1(THM1),THM1
AT1G03687,DTW domain-containing protein(AT1G03687),AT1G03687
AT1G03700,Uncharacterized protein family (UPF0497)(AT1G03700),AT1G03700
AT1G03710,Cystatin/monellin superfamily protein(AT1G03710),AT1G03710
AT1G03720,Cysteine proteinases superfamily protein(AT1G03720),AT1G03720
AT1G03730,pyrroline-5-carboxylate reductase(AT1G03730),AT1G03730
AT1G03740,Protein kinase superfamily protein(AT1G03740),AT1G03740
AT1G03750,switch 2(SWI2),SWI2
AT1G03760,Prefoldin chaperone subunit family protein(AT1G03760),AT1G03760
AT1G03770,RING 1B(RING1B),RING1B
AT1G03780,targeting protein for XKLP2(TPX2),TPX2
AT1G03790,Zinc finger C-x8-C-x5-C-x3-H type family protein(SOM),SOM
AT1G03800,ERF domain protein 10(ERF10),ERF10
AT1G03820,E6-like protein(AT1G03820),AT1G03820
AT1G03830,guanylate-binding family protein(AT1G03830),AT1G03830
AT1G03840,C2H2 and C2HC zinc fingers superfamily protein(MGP),MGP
AT1G03850,Glutaredoxin family protein(GRXS13),GRXS13
AT1G03860,prohibitin 2(PHB2),PHB2
AT1G03870,FASCICLIN-like arabinoogalactan 9(FLA9),FLA9
AT1G03880,cruciferin 2(CRU2),CRU2
AT1G03890,RmlC-like cupins superfamily protein(AT1G03890),AT1G03890
AT1G03900,non-intrinsic ABC protein 4(ABCI18),ABCI18
AT1G03905,P-loop containing nucleoside triphosphate hydrolases superfamily protein(ABCI19),ABCI19
AT1G03910,"cactus-binding carboxy-terminal, cactin(AT1G03910)",AT1G03910
AT1G03920,Protein kinase family protein(AT1G03920),AT1G03920
AT1G03930,dual specificity kinase 1(ADK1),ADK1
AT1G03935,ncRNA(AT1G03935),AT1G03935
AT1G03940,HXXXD-type acyl-transferase family protein(AT1G03940),AT1G03940
AT1G03950,vacuolar protein sorting-associated protein 2.3(VPS2.3),VPS2.3
AT1G03960,Calcium-binding EF hand family protein(AT1G03960),AT1G03960
AT1G03970,G-box binding factor 4(GBF4),GBF4
AT1G03980,phytochelatin synthase 2(PCS2),PCS2
AT1G03990,Long-chain fatty alcohol dehydrogenase family protein(AT1G03990),AT1G03990
AT1G04000,hypothetical protein(AT1G04000),AT1G04000
AT1G04010,phospholipid sterol acyl transferase 1(PSAT1),PSAT1
AT1G04020,breast cancer associated RING 1(BARD1),BARD1
AT1G04030,eisosome protein(AT1G04030),AT1G04030
AT1G04040,"HAD superfamily, subfamily IIIB acid phosphatase(AT1G04040)",AT1G04040
AT1G04050,histone-lysine N-methyltransferase SUVR2-like protein(SUVR1),SUVR1
AT1G04070,translocase of outer membrane 22-I(TOM22-I),TOM22-I
AT1G04080,Tetratricopeptide repeat (TPR)-like superfamily protein(PRP39),PRP39
AT1G04090,vacuolar sorting-associated protein (DUF946)(AT1G04090),AT1G04090
AT1G04100,indoleacetic acid-induced protein 10(IAA10),IAA10
AT1G04110,Subtilase family protein(SDD1),SDD1
AT1G04120,multidrug resistance-associated protein 5(ABCC5),ABCC5
AT1G04130,Tetratricopeptide repeat (TPR)-like superfamily protein(TPR2),TPR2
AT1G04140,Transducin family protein / WD-40 repeat family protein(AT1G04140),AT1G04140
AT1G04150,C2 calcium/lipid-binding plant phosphoribosyltransferase family protein(AT1G04150),AT1G04150
AT1G04160,myosin XI B(XIB),XIB
AT1G04170,eukaryotic translation initiation factor 2 gamma subunit(EIF2 GAMMA),EIF2 GAMMA
AT1G04180,YUCCA 9(YUC9),YUC9
AT1G04190,Tetratricopeptide repeat (TPR)-like superfamily protein(TPR3),TPR3
AT1G04200,dyggve-melchior-clausen syndrome protein(AT1G04200),AT1G04200
AT1G04210,Leucine-rich repeat protein kinase family protein(AT1G04210),AT1G04210
AT1G04220,3-ketoacyl-CoA synthase 2(KCS2),KCS2
AT1G04230,rRNA-processing EFG1-like protein (DUF2361)(AT1G04230),AT1G04230
AT1G04240,AUX/IAA transcriptional regulator family protein(SHY2),SHY2
AT1G04250,AUX/IAA transcriptional regulator family protein(AXR3),AXR3
AT1G04260,CAMV movement protein interacting protein 7(MPI7),MPI7
AT1G04270,cytosolic ribosomal protein S15(RPS15),RPS15
AT1G04280,P-loop containing nucleoside triphosphate hydrolases superfamily protein(AT1G04280),AT1G04280
AT1G04290,Thioesterase superfamily protein(AT1G04290),AT1G04290
AT1G04300,TRAF-like superfamily protein(AT1G04300),AT1G04300
AT1G04310,ethylene response sensor 2(ERS2),ERS2
AT1G04330,hypothetical protein(AT1G04330),AT1G04330
AT1G04340,HR-like lesion-inducing protein-like protein(AT1G04340),AT1G04340
AT1G04350,2-oxoglutarate (2OG) and Fe(II)-dependent oxygenase superfamily protein(AT1G04350),AT1G04350
AT1G04360,RING/U-box superfamily protein(AT1G04360),AT1G04360
AT1G04370,Ethylene-responsive element binding factor 14(ERF14),ERF14
AT1G04380,2-oxoglutarate (2OG) and Fe(II)-dependent oxygenase superfamily protein(AT1G04380),AT1G04380
AT1G04390,BTB/POZ domain-containing protein(AT1G04390),AT1G04390
AT1G04400,cryptochrome 2(CRY2),CRY2
AT1G04410,Lactate/malate dehydrogenase family protein(c-NAD-MDH1),c-NAD-MDH1
AT1G04420,NAD(P)-linked oxidoreductase superfamily protein(AT1G04420),AT1G04420
AT1G04425,ncRNA(AT1G04425),AT1G04425
AT1G04430,S-adenosyl-L-methionine-dependent methyltransferases superfamily protein(AT1G04430),AT1G04430
AT1G04440,casein kinase like 13(CKL13),CKL13
AT1G04445,C2H2-like zinc finger protein(AT1G04445),AT1G04445
AT1G04470,hypothetical protein (DUF810)(AT1G04470),AT1G04470
AT1G04480,Ribosomal protein L14p/L23e family protein(AT1G04480),AT1G04480
AT1G04490,hypothetical protein (DUF3527)(AT1G04490),AT1G04490
AT1G04500,CCT motif family protein(AT1G04500),AT1G04500
AT1G04510,MOS4-associated complex 3A(MAC3A),MAC3A
AT1G04520,plasmodesmata-located protein 2(PDLP2),PDLP2
AT1G04530,Tetratricopeptide repeat (TPR)-like superfamily protein(TPR4),TPR4
AT1G04540,Calcium-dependent lipid-binding (CaLB domain) family protein(AT1G04540),AT1G04540
AT1G04550,AUX/IAA transcriptional regulator family protein(IAA12),IAA12
AT1G04555,transmembrane protein(AT1G04555),AT1G04555
AT1G04560,AWPM-19-like family protein(AT1G04560),AT1G04560
AT1G04570,Major facilitator superfamily protein(AT1G04570),AT1G04570
AT1G04580,aldehyde oxidase 4(AO4),AO4
AT1G04590,PPR containing-like protein(AT1G04590),AT1G04590
AT1G04600,myosin XI A(XIA),XIA
AT1G04610,YUCCA 3(YUC3),YUC3
AT1G04620,"coenzyme F420 hydrogenase family / dehydrogenase, beta subunit family(HCAR)",HCAR
AT1G04625,"Polynucleotidyl transferase, ribonuclease H-like superfamily protein(AT1G04625)",AT1G04625
AT1G04630,GRIM-19 protein(MEE4),MEE4
AT1G04635,ribonuclease P family protein / Rpp14 family protein(EMB1687),EMB1687
AT1G04640,lipoyltransferase 2(LIP2),LIP2
AT1G04650,holliday junction resolvase(AT1G04650),AT1G04650
AT1G04660,glycine-rich protein(AT1G04660),AT1G04660
AT1G04680,Pectin lyase-like superfamily protein(AT1G04680),AT1G04680
AT1G04690,potassium channel beta subunit 1(KAB1),KAB1
AT1G04700,PB1 domain-containing protein tyrosine kinase(AT1G04700),AT1G04700
AT1G04710,peroxisomal 3-ketoacyl-CoA thiolase 4(PKT4),PKT4
AT1G04730,P-loop containing nucleoside triphosphate hydrolases superfamily protein(CTF18),CTF18
AT1G04750,vesicle-associated membrane protein 721(VAMP721),VAMP721
AT1G04760,vesicle-associated membrane protein 726(VAMP726),VAMP726
AT1G04770,Tetratricopeptide repeat (TPR)-like superfamily protein(AT1G04770),AT1G04770
AT1G04778,hypothetical protein(AT1G04778),AT1G04778
AT1G04780,Ankyrin repeat family protein(AT1G04780),AT1G04780
AT1G04790,RING/U-box superfamily protein(AT1G04790),AT1G04790
AT1G04800,glycine-rich protein(AT1G04800),AT1G04800
AT1G04810,"26S proteasome regulatory complex, non-ATPase subcomplex, Rpn2/Psmd1 subunit(AT1G04810)",AT1G04810
AT1G04820,tubulin alpha-4 chain(TUA4),TUA4
AT1G04830,Ypt/Rab-GAP domain of gyp1p superfamily protein(AT1G04830),AT1G04830
AT1G04840,Tetratricopeptide repeat (TPR)-like superfamily protein(AT1G04840),AT1G04840
AT1G04850,ubiquitin-associated (UBA)/TS-N domain-containing protein(AT1G04850),AT1G04850
AT1G04860,ubiquitin-specific protease 2(UBP2),UBP2
AT1G04870,protein arginine methyltransferase 10(PRMT10),PRMT10
AT1G04880,HMG (high mobility group) box protein with ARID/BRIGHT DNA-binding domain-containing protein(AT1G04880),HMG 
AT1G04900,"NADH dehydrogenase ubiquinone complex I, assembly factor-like protein (DUF185)(AT1G04900)",AT1G04900
AT1G04910,O-fucosyltransferase family protein(AT1G04910),AT1G04910
