Gene_id,LAP_well_watered,annotation,symbol
AT1G73066,0.4,Leucine-rich repeat family protein(AT1G73066),AT1G73066
AT1G73230,0.4,Nascent polypeptide-associated complex NAC(AT1G73230),AT1G73230
AT1G73510,0.4,hypothetical protein(AT1G73510),AT1G73510
AT2G01890,0.4,purple acid phosphatase 8(PAP8),PAP8
AT2G03810,0.4,18S pre-ribosomal assembly protein gar2-like protein(AT2G03810),AT2G03810
AT2G17036,0.4,F-box SKIP23-like protein (DUF295)(AT2G17036),AT2G17036
AT2G24690,0.4,Transcriptional factor B3 family protein(AT2G24690),AT2G24690
AT2G30530,0.4,zinc finger CCCH domain protein(AT2G30530),AT2G30530
AT2G41130,0.4,basic helix-loop-helix (bHLH) DNA-binding superfamily protein(AT2G41130),AT2G41130
AT2G42290,0.4,Leucine-rich repeat protein kinase family protein(AT2G42290),AT2G42290
AT3G06640,0.4,PAS domain-containing protein tyrosine kinase family protein(AT3G06640),AT3G06640
AT3G16490,0.4,IQ-domain 26(IQD26),IQD26
AT3G17830,0.4,Molecular chaperone Hsp40/DnaJ family protein(AT3G17830),AT3G17830
AT3G18130,0.4,receptor for activated C kinase 1C(RACK1C_AT),RACK1C_AT
AT3G25710,0.4,basic helix-loop-helix 32(BHLH32),BHLH32
AT3G51570,0.4,Disease resistance protein (TIR-NBS-LRR class) family(AT3G51570),AT3G51570
AT3G52540,0.4,ovate family protein 18(OFP18),OFP18
AT3G56680,0.4,Single-stranded nucleic acid binding R3H protein(AT3G56680),AT3G56680
AT4G00830,0.4,RNA-binding (RRM/RBD/RNP motifs) family protein(LIF2),LIF2
AT4G06598,0.4,basic-leucine zipper (bZIP) transcription factor family protein(AT4G06598),AT4G06598
AT4G15330,0.4,"cytochrome P450, family 705, subfamily A, polypeptide 1(CYP705A1)",CYP705A1
AT4G16680,0.4,P-loop containing nucleoside triphosphate hydrolases superfamily protein(AT4G16680),AT4G16680
AT4G20210,0.4,Terpenoid cyclases/Protein prenyltransferases superfamily protein(AT4G20210),TPS08
AT4G25120,0.4,P-loop containing nucleoside triphosphate hydrolases superfamily protein(SRS2),SRS2
AT4G25210,0.4,DNA-binding storekeeper protein-related transcriptional regulator(AT4G25210),AT4G25210
AT4G28040,0.4,nodulin MtN21 /EamA-like transporter family protein(UMAMIT33),UMAMIT33
AT4G39050,0.4,Kinesin motor family protein(AT4G39050),AT4G39050
AT4G39470,0.4,Tetratricopeptide repeat (TPR)-like superfamily protein(AT4G39470),AT4G39470
AT5G05080,0.4,ubiquitin-conjugating enzyme 22(UBC22),UBC22
AT5G07080,0.4,HXXXD-type acyl-transferase family protein(AT5G07080),AT5G07080
AT5G11170,0.4,DEAD/DEAH box RNA helicase family protein(UAP56a),UAP56a
AT5G38970,0.4,brassinosteroid-6-oxidase 1(BR6OX1),BR6OX1
AT5G39471,0.4,Cysteine/Histidine-rich C1 domain family protein(AT5G39471),AT5G39471
AT5G55300,0.4,DNA topoisomerase I alpha(TOP1ALPHA),TOP1ALPHA
AT5G59960,0.4,K-stimulated pyrophosphate-energized sodium pump protein(AT5G59960),AT5G59960
AT5G60840,0.4,hypothetical protein(AT5G60840),AT5G60840
ATCG01020,0.4,RPL32,RPL32
AT1G28230,-0.4,purine permease 1(PUP1),PUP1
AT1G50430,-0.4,Ergosterol biosynthesis ERG4/ERG24 family(DWF5),DWF5
AT1G52880,-0.4,"NAC (No Apical Meristem) domain transcriptional regulator superfamily protein(NAM)","NAM"
AT1G59265,-0.4,hypothetical protein(AT1G59265),AT1G59265
AT1G70770,-0.4,"transmembrane protein (Protein of unknown function DUF2359, transmembrane)(AT1G70770)",AT1G70770
AT2G02700,-0.4,Cysteine/Histidine-rich C1 domain family protein(AT2G02700),AT2G02700
AT2G15555,-0.4,ncRNA(AT2G15555),AT2G15555
AT2G18230,-0.4,pyrophosphorylase 2(PPa2),PPa2
AT2G21350,-0.4,RNA-binding CRS1 / YhbY (CRM) domain protein(AT2G21350),AT2G21350
AT2G41000,-0.4,Chaperone DnaJ-domain superfamily protein(AT2G41000),AT2G41000
AT2G41360,-0.4,galactose oxidase/kelch repeat protein(AT2G41360),AT2G41360
AT3G11240,-0.4,arginine-tRNA protein transferase 2(ATE2),ATE2
AT3G21620,-0.4,ERD (early-responsive to dehydration stress) family protein(AT3G21620),AT3G21620
AT3G59500,-0.4,Integral membrane HRF1 family protein(AT3G59500),AT3G59500
AT3G62050,-0.4,Putative endonuclease or glycosyl hydrolase(AT3G62050),AT3G62050
AT4G02080,-0.4,secretion-associated RAS super family 2(SAR2),SAR2
AT4G12030,-0.4,bile acid transporter 5(BAT5),BAT5
AT5G16510,-0.4,"Alpha-1,4-glucan-protein synthase family protein(RGP5)",RGP5
AT5G16800,-0.4,Acyl-CoA N-acyltransferases (NAT) superfamily protein(AT5G16800),AT5G16800
AT5G28320,-0.4,embryo defective protein(AT5G28320),AT5G28320
AT5G38220,-0.4,alpha/beta-Hydrolases superfamily protein(AT5G38220),AT5G38220
AT5G52450,-0.4,MATE efflux family protein(AT5G52450),AT5G52450
AT5G61412,-0.4,hypothetical protein(AT5G61412),AT5G61412
AT5G63840,-0.4,Glycosyl hydrolases family 31 protein(RSW3),RSW3
AT1G11200,-0.41,organic solute transporter ostalpha protein (DUF300)(AT1G11200),AT1G11200
AT1G13900,-0.41,Purple acid phosphatases superfamily protein(PAP2),PAP2
AT1G25520,-0.41,Uncharacterized protein family (UPF0016)(AT1G25520),AT1G25520
AT1G26740,-0.41,Ribosomal L32p protein family(AT1G26740),AT1G26740
AT1G31230,-0.41,aspartate kinase-homoserine dehydrogenase i(AK-HSDH I),AK-HSDH I
AT1G36580,-0.41,hypothetical protein(AT1G36580),AT1G36580
AT1G68600,-0.41,aluminum activated malate transporter family protein(AT1G68600),AT1G68600
AT1G78900,-0.41,vacuolar ATP synthase subunit A(VHA-A),VHA-A
AT2G30970,-0.41,aspartate aminotransferase 1(ASP1),ASP1
AT3G08710,-0.41,thioredoxin H-type 9(TH9),TH9
AT3G14100,-0.41,RNA-binding (RRM/RBD/RNP motifs) family protein(AT3G14100),AT3G14100
AT3G32990,-0.41,miscRNA(AT3G32990),AT3G32990
AT3G58510,-0.41,DEA(D/H)-box RNA helicase family protein(AT3G58510),AT3G58510
AT3G59660,-0.41,C2 domain-containing protein / GRAM domain-containing protein(AT3G59660),AT3G59660
AT4G09300,-0.41,LisH and RanBPM domains containing protein(AT4G09300),AT4G09300
AT4G14220,-0.41,RING-H2 group F1A(RHF1A),RHF1A
AT4G15260,-0.41,UDP-Glycosyltransferase superfamily protein(AT4G15260),AT4G15260
AT4G15470,-0.41,Bax inhibitor-1 family protein(AT4G15470),AT4G15470
AT4G19430,-0.41,hypothetical protein(AT4G19430),AT4G19430
AT4G22410,-0.41,U4/U6.U5 tri-snRNP-associated-like protein(AT4G22410),AT4G22410
AT4G28600,-0.41,no pollen germination related 2(NPGR2),NPGR2
AT5G18040,-0.41,target of trans acting-siR480/255 protein(AT5G18040),AT5G18040
AT5G38120,-0.41,AMP-dependent synthetase and ligase family protein(4CL8),4CL8
AT5G40850,-0.41,urophorphyrin methylase 1(UPM1),UPM1
AT5G43940,-0.41,GroES-like zinc-binding dehydrogenase family protein(HOT5),HOT5
AT5G60790,-0.41,ABC transporter family protein(ABCF1),ABCF1
ATMG01090,-0.41,ORF262,ORF262
AT1G48440,-0.42,B-cell receptor-associated 31-like protein(AT1G48440),AT1G48440
AT1G62130,-0.42,AAA-type ATPase family protein(AT1G62130),AT1G62130
AT2G34360,-0.42,MATE efflux family protein(AT2G34360),AT2G34360
AT2G38010,-0.42,Neutral/alkaline non-lysosomal ceramidase(AT2G38010),AT2G38010
AT3G08590,-0.42,"Phosphoglycerate mutase, 2,3-bisphosphoglycerate-independent(iPGAM2)",iPGAM2
AT3G49520,-0.42,F-box and associated interaction domains-containing protein(AT3G49520),AT3G49520
AT3G57680,-0.42,Peptidase S41 family protein(AT3G57680),AT3G57680
AT4G25230,-0.42,RPM1 interacting protein 2(RIN2),RIN2
AT4G32272,-0.42,Nucleotide/sugar transporter family protein(AT4G32272),UGNT1
AT5G01560,-0.42,lectin receptor kinase a4.3(LECRKA4.3),LECRKA4.3
AT5G21040,-0.42,F-box protein 2(FBX2),FBX2
AT5G40810,-0.42,Cytochrome C1 family(AT5G40810),AT5G40810
AT5G55790,-0.42,hypothetical protein(AT5G55790),AT5G55790
AT5G58020,-0.42,RTF2 RING-finger protein(AT5G58020),AT5G58020
AT5G60160,-0.42,Zn-dependent exopeptidases superfamily protein(AT5G60160),AT5G60160
AT1G27930,-0.43,glucuronoxylan 4-O-methyltransferase-like protein (DUF579)(AT1G27930),AT1G27930
AT1G29050,-0.43,TRICHOME BIREFRINGENCE-LIKE 38(TBL38),TBL38
AT1G78030,-0.43,hypothetical protein(AT1G78030),AT1G78030
AT2G02147,-0.43,low-molecular-weight cysteine-rich 73(LCR73),LCR73
AT3G04970,-0.43,DHHC-type zinc finger family protein(AT3G04970),AT3G04970
AT3G06940,-0.43,hypothetical protein(MUG5),MUG5
AT3G07600,-0.43,Heavy metal transport/detoxification superfamily protein(AT3G07600),AT3G07600
AT3G12800,-0.43,short-chain dehydrogenase-reductase B(SDRB),SDRB
AT3G48010,-0.43,cyclic nucleotide-gated channel 16(CNGC16),CNGC16
AT3G56500,-0.43,serine-rich protein-like protein(AT3G56500),AT3G56500
AT3G60176,-0.43,ncRNA(AT3G60176),AT3G60176
AT4G01840,-0.43,Ca2+ activated outward rectifying K+ channel 5(KCO5),KCO5
AT4G05130,-0.43,equilibrative nucleoside transporter 4(ENT4),ENT4
AT4G17830,-0.43,Peptidase M20/M25/M40 family protein(AT4G17830),AT4G17830
AT4G39210,-0.43,Glucose-1-phosphate adenylyltransferase family protein(APL3),APL3
AT5G02790,-0.43,Glutathione S-transferase family protein(GSTL3),GSTL3
AT5G43980,-0.43,plasmodesmata-located protein 1(PDLP1),PDLP1
AT5G49630,-0.43,amino acid permease 6(AAP6),AAP6
AT1G24145,-0.44,transmembrane protein(AT1G24145),AT1G24145
AT1G43770,-0.44,RING/FYVE/PHD zinc finger superfamily protein(AT1G43770),AT1G43770
AT1G47240,-0.44,NRAMP metal ion transporter 2(NRAMP2),NRAMP2
AT1G63870,-0.44,Disease resistance protein (TIR-NBS-LRR class) family(AT1G63870),AT1G63870
AT1G64650,-0.44,Major facilitator superfamily protein(AT1G64650),AT1G64650
AT1G72480,-0.44,Lung seven transmembrane receptor family protein(AT1G72480),AT1G72480
AT1G80040,-0.44,ubiquitin system component Cue(AT1G80040),AT1G80040
AT3G26840,-0.44,Esterase/lipase/thioesterase family protein(PES2),PES2
AT3G56950,-0.44,small and basic intrinsic protein 2;1(SIP2;1),SIP2;1
AT4G16566,-0.44,histidine triad nucleotide-binding 4(HINT4),HINT4
AT4G18580,-0.44,hypothetical protein(AT4G18580),AT4G18580
AT4G22240,-0.44,Plastid-lipid associated protein PAP / fibrillin family protein(AT4G22240),AT4G22240
AT4G28005,-0.44,"NADH dehydrogenase ubiquinone 1 alpha subcomplex subunit(AT4G28005)",AT4G28005
AT5G09400,-0.44,K+ uptake permease 7(KUP7),KUP7
AT5G12890,-0.44,UDP-Glycosyltransferase superfamily protein(AT5G12890),AT5G12890
AT5G27600,-0.44,long-chain acyl-CoA synthetase 7(LACS7),LACS7
AT5G28913,-0.44,hypothetical protein(SADHU4-1),SADHU4-1
AT5G50800,-0.44,Nodulin MtN3 family protein(SWEET13),SWEET13
AT1G14080,-0.45,fucosyltransferase 6(FUT6),FUT6
AT1G16120,-0.45,wall associated kinase-like 1(WAKL1),WAKL1
AT1G76954,-0.45,Defensin-like (DEFL) family protein(AT1G76954),AT1G76954
AT4G20040,-0.45,Pectin lyase-like superfamily protein(AT4G20040),AT4G20040
AT5G35796,-0.45,miscRNA(AT5G35796),AT5G35796
AT1G65820,-0.46,microsomal glutathione s-transferase(AT1G65820),AT1G65820
AT1G74410,-0.46,RING/U-box superfamily protein(AT1G74410),AT1G74410
AT2G07783,-0.46,miscRNA(AT2G07783),AT2G07783
AT3G18060,-0.46,transducin family protein / WD-40 repeat family protein(AT3G18060),AT3G18060
AT3G24160,-0.46,putative type 1 membrane protein(PMP),PMP
AT4G00770,-0.46,DUF4378 domain protein(TRM9),TRM9
AT4G24330,-0.46,hypothetical protein (DUF1682)(AT4G24330),AT4G24330
AT5G22350,-0.46,fission ELM1-like protein (DUF1022)(ELM1),ELM1
AT1G66050,-0.47,Zinc finger (C3HC4-type RING finger) family protein(VIM2),VIM2
AT2G36970,-0.47,UDP-Glycosyltransferase superfamily protein(AT2G36970),AT2G36970
AT3G16220,-0.47,Putative eukaryotic LigT(AT3G16220),AT3G16220
AT4G12310,-0.47,"cytochrome P450, family 706, subfamily A, polypeptide 5(CYP706A5)",CYP706A5
AT4G16600,-0.47,Nucleotide-diphospho-sugar transferases superfamily protein(PGSIP8),PGSIP8
AT3G53720,-0.48,cation/H+ exchanger 20(CHX20),CHX20
AT1G31750,-0.49,proline-rich family protein(AT1G31750),GPRP1
AT1G68650,-0.49,Uncharacterized protein family (UPF0016)(AT1G68650),AT1G68650
AT3G52610,-0.49,GATA zinc finger protein(AT3G52610),AT3G52610
AT4G19450,-0.5,Major facilitator superfamily protein(AT4G19450),AT4G19450
AT5G27130,-0.5,AGAMOUS-like 39(AGL39),AGL39
AT1G12480,-0.51,C4-dicarboxylate transporter/malic acid transport protein(OZS1),OZS1
AT2G01130,-0.51,DEA(D/H)-box RNA helicase family protein(AT2G01130),AT2G01130
AT3G48300,-0.51,"cytochrome P450, family 71, subfamily A, polypeptide 23(CYP71A23)",CYP71A23
AT5G45380,-0.51,urea-proton symporter DEGRADATION OF UREA 3 (DUR3)(DUR3),DUR3
AT5G52540,-0.52,"keratin-associated protein, putative (DUF819)(AT5G52540)",AT5G52540
AT3G05685,-0.53,Cystatin/monellin superfamily protein(AT3G05685),AT3G05685
AT5G49810,-0.56,methionine S-methyltransferase(MMT),MMT
AT1G62200,-0.59,Major facilitator superfamily protein(PTR6),PTR6
