"gene","Dittberner_moleco18_Delta_13C_rs","Dittberner_moleco18_Delta_13C_P_val","annotation","symbol"
"AT1G19450",0.37,0.00037,"Major facilitator superfamily protein(AT1G19450)","AT1G19450"
"AT1G22910",0.37,0.00038,"RNA-binding (RRM/RBD/RNP motifs) family protein(AT1G22910)","AT1G22910"
"AT1G31920",0.37,0.00043,"Tetratricopeptide repeat (TPR)-like superfamily protein(AT1G31920)","AT1G31920"
"AT1G32060",0.37,0.00038,"phosphoribulokinase(PRK)","PRK"
"AT1G45474",0.37,4e-04,"photosystem I light harvesting complex protein 5(Lhca5)","Lhca5"
"AT1G55805",0.37,0.00035,"BolA-like family protein(AT1G55805)","AT1G55805"
"AT1G62750",0.37,0.00035,"Translation elongation factor EFG/EF2 protein(SCO1)","SCO1"
"AT1G76110",0.37,0.00035,"HMG (high mobility group) box protein with ARID/BRIGHT DNA-binding domain-containing protein(AT1G76110)","AT1G76110"
"AT1G77090",0.37,0.00045,"thylakoid lumenal protein (Mog1/PsbP/DUF1795-like photosystem II reaction center PsbP family protein)(AT1G77090)","AT1G77090"
"AT2G03730",0.37,0.00034,"ACT domain repeat 5(ACR5)","ACR5"
"AT2G16810",0.37,4e-04,"F-box and associated interaction domains-containing protein(AT2G16810)","AT2G16810"
"AT2G35130",0.37,4e-04,"Tetratricopeptide repeat (TPR)-like superfamily protein(AT2G35130)","AT2G35130"
"AT2G46820",0.37,0.00044,"photosystem I P subunit(PSI-P)","PSI-P"
"AT3G17470",0.37,0.00036,"Ca2+-activated RelA/spot-like protein(CRSH)","CRSH"
"AT3G21390",0.37,4e-04,"Mitochondrial substrate carrier family protein(AT3G21390)","AT3G21390"
"AT3G45210",0.37,4e-04,"transcription initiation factor TFIID subunit (Protein of unknown function, DUF584)(AT3G45210)","AT3G45210"
"AT3G49470",0.37,0.00037,"nascent polypeptide-associated complex subunit alpha-like protein 2(NACA2)","NACA2"
"AT3G52290",0.37,0.00033,"IQ-domain 3(IQD3)","IQD3"
"AT4G02530",0.37,0.00043,"chloroplast thylakoid lumen protein(AT4G02530)","AT4G02530"
"AT4G27680",0.37,0.00035,"P-loop containing nucleoside triphosphate hydrolases superfamily protein(AT4G27680)","AT4G27680"
"AT4G29070",0.37,0.00041,"Phospholipase A2 family protein(AT4G29070)","AT4G29070"
"AT4G29350",0.37,0.00046,"profilin 2(PFN2)","PFN2"
"AT4G30993",0.37,0.00045,"Calcineurin-like metallo-phosphoesterase superfamily protein(AT4G30993)","AT4G30993"
"AT4G32190",0.37,0.00034,"Myosin heavy chain-related protein(AT4G32190)","AT4G32190"
"AT4G37800",0.37,0.00035,"xyloglucan endotransglucosylase/hydrolase 7(XTH7)","XTH7"
"AT5G14740",0.37,4e-04,"carbonic anhydrase 2(CA2)","CA2"
"AT5G19390",0.37,0.00038,"Rho GTPase activation protein (RhoGAP) with PH domain-containing protein(AT5G19390)","AT5G19390"
"AT5G21326",0.37,0.00045,"Ca2+regulated serine-threonine protein kinase family protein(CIPK26)","CIPK26"
"AT5G35970",0.37,0.00035,"P-loop containing nucleoside triphosphate hydrolases superfamily protein(AT5G35970)","AT5G35970"
"AT5G65010",0.37,4e-04,"asparagine synthetase 2(ASN2)","ASN2"
"AT5G65730",0.37,0.00041,"xyloglucan endotransglucosylase/hydrolase 6(XTH6)","XTH6"
"AT1G12580",0.36,0.00058,"phosphoenolpyruvate carboxylase-related kinase 1(PEPKR1)","PEPKR1"
"AT1G18060",0.36,0.00063,"microbial collagenase(AT1G18060)","AT1G18060"
"AT1G22140",0.36,0.00062,"zinc finger CCCH domain protein(AT1G22140)","AT1G22140"
"AT1G29890",0.36,0.00068,"O-acetyltransferase family protein(RWA4)","RWA4"
"AT1G32320",0.36,0.00059,"MAP kinase kinase 10(MKK10)","MKK10"
"AT1G34000",0.36,0.00048,"one-helix protein 2(OHP2)","OHP2"
"AT1G51630",0.36,6e-04,"O-fucosyltransferase family protein(MSR2)","MSR2"
"AT1G53120",0.36,0.00051,"RNA-binding S4 domain-containing protein(AT1G53120)","AT1G53120"
"AT1G64860",0.36,0.00053,"sigma factor A(SIGA)","SIGA"
"AT2G15620",0.36,0.00056,"nitrite reductase 1(NIR1)","NIR1"
"AT2G21210",0.36,0.00057,"SAUR-like auxin-responsive protein family(AT2G21210)","AT2G21210"
"AT2G26211",0.36,0.00055,"ncRNA(MIR825)","MIR825"
"AT2G28950",0.36,0.00055,"expansin A6(EXPA6)","EXPA6"
"AT2G31570",0.36,0.00055,"glutathione peroxidase 2(GPX2)","GPX2"
"AT2G32410",0.36,0.00055,"AXR1-like protein(AXL)","AXL"
"AT2G32540",0.36,0.00052,"cellulose synthase-like B4(CSLB04)","CSLB04"
"AT2G35830",0.36,0.00058,"ureidoglycolate hydrolase(AT2G35830)","AT2G35830"
"AT2G39450",0.36,0.00061,"Cation efflux family protein(MTP11)","MTP11"
"AT2G41310",0.36,0.00069,"response regulator 3(RR3)","RR3"
"AT3G07170",0.36,0.00068,"Sterile alpha motif (SAM) domain-containing protein(AT3G07170)","AT3G07170"
"AT3G10060",0.36,0.00068,"FKBP-like peptidyl-prolyl cis-trans isomerase family protein(AT3G10060)","AT3G10060"
"AT3G15900",0.36,0.00054,"homoserine O-acetyltransferase(AT3G15900)","AT3G15900"
"AT3G22104",0.36,0.00055,"Phototropic-responsive NPH3 family protein(AT3G22104)","AT3G22104"
"AT3G26650",0.36,0.00065,"glyceraldehyde 3-phosphate dehydrogenase A subunit(GAPA)","GAPA"
"AT3G29130",0.36,5e-04,"kxDL motif protein(AT3G29130)","AT3G29130"
"AT3G53650",0.36,0.00051,"Histone superfamily protein(AT3G53650)","AT3G53650"
"AT3G54830",0.36,0.00068,"Transmembrane amino acid transporter family protein(AT3G54830)","AT3G54830"
"AT3G57190",0.36,0.00065,"peptide chain release factor(PrfB3)","PrfB3"
"AT3G59780",0.36,0.00049,"Rhodanese/Cell cycle control phosphatase superfamily protein(AT3G59780)","AT3G59780"
"AT3G61430",0.36,0.00049,"plasma membrane intrinsic protein 1A(PIP1A)","PIP1A"
"AT4G13710",0.36,0.00068,"Pectin lyase-like superfamily protein(AT4G13710)","AT4G13710"
"AT4G22730",0.36,0.00052,"Leucine-rich repeat protein kinase family protein(AT4G22730)","AT4G22730"
"AT4G33110",0.36,0.00048,"S-adenosyl-L-methionine-dependent methyltransferases superfamily protein(AT4G33110)","AT4G33110"
"AT4G36240",0.36,0.00059,"GATA transcription factor 7(GATA7)","GATA7"
"AT5G04275",0.36,0.00067,"ncRNA(MIR172b)","MIR172b"
"AT5G06980",0.36,0.00047,"hypothetical protein(AT5G06980)","AT5G06980"
"AT5G11420",0.36,0.00064,"transmembrane protein, putative (Protein of unknown function, DUF642)(AT5G11420)","AT5G11420"
"AT5G13770",0.36,0.00049,"Pentatricopeptide repeat (PPR-like) superfamily protein(AT5G13770)","AT5G13770"
"AT5G20220",0.36,0.00051,"zinc knuckle (CCHC-type) family protein(AT5G20220)","AT5G20220"
"AT5G24930",0.36,0.00054,"zinc finger CONSTANS-like protein(COL4)","COL4"
"AT5G54630",0.36,0.00068,"zinc finger protein-like protein(AT5G54630)","AT5G54630"
"AT5G64840",0.36,0.00063,"general control non-repressible 5(ABCF5)","ABCF5"
"AT1G05850",0.35,0.00097,"Chitinase family protein(POM1)","POM1"
"AT1G05900",0.35,0.00084,"endonuclease III 2(NTH2)","NTH2"
"AT1G10670",0.35,0.00079,"ATP-citrate lyase A-1(ACLA-1)","ACLA-1"
"AT1G11590",0.35,0.00091,"Plant invertase/pectin methylesterase inhibitor superfamily(AT1G11590)","AT1G11590"
"AT1G30380",0.35,0.00097,"photosystem I subunit K(PSAK)","PSAK"
"AT1G44000",0.35,0.00083,"STAY-GREEN-like protein(AT1G44000)","AT1G44000"
"AT1G44575",0.35,0.00082,"Chlorophyll A-B binding family protein(NPQ4)","NPQ4"
"AT1G55360",0.35,0.00075,"tRNA-splicing ligase (DUF239)(AT1G55360)","AT1G55360"
"AT1G56330",0.35,9e-04,"secretion-associated RAS 1B(SAR1B)","SAR1B"
"AT1G65295",0.35,0.00096,"ubiquitin carboxyl-terminal hydrolase(AT1G65295)","AT1G65295"
"AT1G66840",0.35,0.00091,"PLASTID MOVEMENT IMPAIRED protein (DUF827)(PMI2)","PMI2"
"AT1G68238",0.35,9e-04,"transmembrane protein(AT1G68238)","AT1G68238"
"AT1G70410",0.35,0.00096,"beta carbonic anhydrase 4(BCA4)","BCA4"
"AT1G70610",0.35,0.00081,"transporter associated with antigen processing protein 1(ABCB26)","ABCB26"
"AT1G73890",0.35,0.00097,"Bifunctional inhibitor/lipid-transfer protein/seed storage 2S albumin superfamily protein(AT1G73890)","AT1G73890"
"AT1G75030",0.35,0.00097,"thaumatin-like protein 3(TLP-3)","TLP-3"
"AT2G05115",0.35,0.00088,"miscRNA(AT2G05115)","AT2G05115"
"AT2G26910",0.35,0.00086,"pleiotropic drug resistance 4(ABCG32)","ABCG32"
"AT2G30100",0.35,0.00093,"pentatricopeptide (PPR) repeat-containing protein(AT2G30100)","AT2G30100"
"AT2G33360",0.35,0.00095,"cadherin EGF LAG seven-pass G-type receptor, putative (DUF3527)(AT2G33360)","AT2G33360"
"AT2G34620",0.35,0.00077,"Mitochondrial transcription termination factor family protein(AT2G34620)","AT2G34620"
"AT2G35840",0.35,7e-04,"Sucrose-6F-phosphate phosphohydrolase family protein(AT2G35840)","AT2G35840"
"AT2G39730",0.35,0.00084,"rubisco activase(RCA)","RCA"
"AT3G10230",0.35,0.00084,"lycopene cyclase(LYC)","LYC"
"AT3G10280",0.35,0.00075,"3-ketoacyl-CoA synthase 14(KCS14)","KCS14"
"AT3G14415",0.35,0.00069,"Aldolase-type TIM barrel family protein(GOX2)","GOX2"
"AT3G27050",0.35,0.00084,"plant/protein(AT3G27050)","AT3G27050"
"AT3G47070",0.35,0.00076,"thylakoid soluble phosphoprotein(AT3G47070)","AT3G47070"
"AT3G52720",0.35,0.00095,"alpha carbonic anhydrase 1(ACA1)","ACA1"
"AT3G54500",0.35,0.00088,"agglutinin-like protein(AT3G54500)","AT3G54500"
"AT4G04640",0.35,0.00069,"ATPase, F1 complex, gamma subunit protein(ATPC1)","ATPC1"
"AT4G21445",0.35,0.00081,"receptor-interacting protein(AT4G21445)","AT4G21445"
"AT4G31870",0.35,0.00079,"glutathione peroxidase 7(GPX7)","GPX7"
"AT4G33860",0.35,0.00077,"Glycosyl hydrolase family 10 protein(AT4G33860)","AT4G33860"
"AT4G37550",0.35,0.00073,"Acetamidase/Formamidase family protein(AT4G37550)","AT4G37550"
"AT4G39150",0.35,0.00075,"DNAJ heat shock N-terminal domain-containing protein(AT4G39150)","AT4G39150"
"AT5G08050",0.35,0.00099,"wiskott-aldrich syndrome family protein, putative (DUF1118)(AT5G08050)","AT5G08050"
"AT5G08080",0.35,0.00099,"syntaxin of plants 132(SYP132)","SYP132"
"AT5G09990",0.35,0.00096,"elicitor peptide 5 precursor(PROPEP5)","PROPEP5"
"AT5G17170",0.35,7e-04,"rubredoxin family protein(ENH1)","ENH1"
"AT5G22210",0.35,7e-04,"aspartyl/glutamyl-tRNA (Asn/Gln) amidotransferase subunit B(AT5G22210)","AT5G22210"
"AT5G25130",0.35,0.00082,"cytochrome P450, family 71, subfamily B, polypeptide 12(CYP71B12)","CYP71B12"
"AT5G28840",0.35,0.00072,"GDP-D-mannose 3',5'-epimerase(GME)","GME"
"AT5G36910",0.35,0.00078,"thionin 2.2(THI2.2)","THI2.2"
"AT5G42310",0.35,0.00072,"Pentatricopeptide repeat (PPR-like) superfamily protein(AT5G42310)","AT5G42310"
"AT5G53580",0.35,0.00073,"NAD(P)-linked oxidoreductase superfamily protein(PLR1)","PLR1"
"AT5G57030",0.35,7e-04,"Lycopene beta/epsilon cyclase protein(LUT2)","LUT2"
"AT5G63700",0.35,8e-04,"zinc ion binding / DNA binding protein(AT5G63700)","AT5G63700"
"AT5G66190",0.35,0.00073,"ferredoxin-NADP[+]-oxidoreductase 1(FNR1)","FNR1"
"AT1G01540",0.34,0.001,"Protein kinase superfamily protein(AT1G01540)","AT1G01540"
"AT1G01950",0.34,0.0013,"armadillo repeat kinesin 2(ARK2)","ARK2"
"AT1G05230",0.34,0.0014,"homeodomain GLABROUS 2(HDG2)","HDG2"
"AT1G08540",0.34,0.0012,"RNApolymerase sigma subunit 2(SIG2)","SIG2"
"AT1G08810",0.34,0.0012,"myb domain protein 60(MYB60)","MYB60"
"AT1G15980",0.34,0.0013,"NDH-dependent cyclic electron flow 1(PnsB1)","PnsB1"
"AT1G17050",0.34,0.0013,"solanesyl diphosphate synthase 2(SPS2)","SPS2"
"AT1G17200",0.34,0.0011,"Uncharacterized protein family (UPF0497)(AT1G17200)","AT1G17200"
"AT1G23310",0.34,0.001,"glutamate:glyoxylate aminotransferase(GGT1)","GGT1"
"AT1G23740",0.34,0.0011,"Oxidoreductase, zinc-binding dehydrogenase family protein(AOR)","AOR"
"AT1G29530",0.34,0.001,"hypothetical protein(AT1G29530)","AT1G29530"
"AT1G34570",0.34,0.0013,"Essential protein Yae1, N-terminal(AT1G34570)","AT1G34570"
"AT1G48480",0.34,0.0013,"receptor-like kinase 1(RKL1)","RKL1"
"AT1G50020",0.34,0.0012,"tubulin alpha-6 chain(AT1G50020)","AT1G50020"
"AT1G53090",0.34,0.0012,"SPA1-related 4(SPA4)","SPA4"
"AT1G54060",0.34,0.001,"6B-interacting protein 1-like 1(ASIL1)","ASIL1"
"AT1G60010",0.34,0.0014,"D-ribose-binding periplasmic protein(AT1G60010)","AT1G60010"
"AT1G68010",0.34,0.0012,"hydroxypyruvate reductase(HPR)","HPR"
"AT1G68790",0.34,0.0014,"little nuclei3(LINC3)","LINC3"
"AT1G69780",0.34,0.0012,"Homeobox-leucine zipper protein family(ATHB13)","ATHB13"
"AT1G78110",0.34,0.0011,"nucleolar GTP-binding protein(AT1G78110)","AT1G78110"
"AT2G02780",0.34,0.0012,"Leucine-rich repeat protein kinase family protein(AT2G02780)","AT2G02780"
"AT2G21330",0.34,0.0011,"fructose-bisphosphate aldolase 1(FBA1)","FBA1"
"AT2G23430",0.34,0.0013,"Cyclin-dependent kinase inhibitor family protein(ICK1)","ICK1"
"AT2G26550",0.34,0.0014,"heme oxygenase 2(HO2)","HO2"
"AT2G32480",0.34,0.0012,"chloroplastic membrane metallo proteases(ARASP)","ARASP"
"AT2G33250",0.34,0.0011,"transmembrane protein(AT2G33250)","AT2G33250"
"AT2G40020",0.34,0.0011,"Nucleolar histone methyltransferase-related protein(AT2G40020)","AT2G40020"
"AT2G44060",0.34,0.0012,"Late embryogenesis abundant protein, group 2(AT2G44060)","AT2G44060"
"AT3G05935",0.34,0.0013,"hypothetical protein(AT3G05935)","AT3G05935"
"AT3G09980",0.34,0.0012,"ankyrin repeat 30A-like protein (DUF662)(AT3G09980)","AT3G09980"
"AT3G12320",0.34,0.0012,"hypothetical protein(AT3G12320)","AT3G12320"
"AT3G19800",0.34,0.0014,"E3 ubiquitin-protein ligase, putative (DUF177)(AT3G19800)","AT3G19800"
"AT3G19900",0.34,0.0011,"hypothetical protein(AT3G19900)","AT3G19900"
"AT3G21050",0.34,0.001,"hypothetical protein(AT3G21050)","AT3G21050"
"AT3G48200",0.34,0.0012,"transmembrane protein(AT3G48200)","AT3G48200"
"AT3G48460",0.34,0.0014,"GDSL-like Lipase/Acylhydrolase superfamily protein(AT3G48460)","AT3G48460"
"AT3G52920",0.34,0.0011,"transcriptional activator (DUF662)(AT3G52920)","AT3G52920"
"AT3G60960",0.34,0.0014,"Tetratricopeptide repeat (TPR)-like superfamily protein(AT3G60960)","AT3G60960"
"AT4G02920",0.34,0.0014,"hypothetical protein(AT4G02920)","AT4G02920"
"AT4G09350",0.34,0.0014,"Chaperone DnaJ-domain superfamily protein(NdhT)","NdhT"
"AT4G33666",0.34,0.0011,"hypothetical protein(AT4G33666)","AT4G33666"
"AT4G34350",0.34,0.0012,"4-hydroxy-3-methylbut-2-enyl diphosphate reductase(HDR)","HDR"
"AT4G34490",0.34,0.0011,"cyclase associated protein 1(CAP1)","CAP1"
"AT4G37440",0.34,0.0012,"hypothetical protein(AT4G37440)","AT4G37440"
"AT5G01620",0.34,0.0014,"TRICHOME BIREFRINGENCE-LIKE 35(TBL35)","TBL35"
"AT5G02390",0.34,0.0012,"TRM32-like protein (DUF3741)(DAU1)","DAU1"
"AT5G03120",0.34,0.0014,"transmembrane protein(AT5G03120)","AT5G03120"
"AT5G14410",0.34,0.001,"hypothetical protein(AT5G14410)","AT5G14410"
"AT5G15830",0.34,0.0013,"basic leucine-zipper 3(bZIP3)","bZIP3"
"AT5G17230",0.34,0.001,"PHYTOENE SYNTHASE(PSY)","PSY"
"AT5G17310",0.34,0.0011,"UDP-glucose pyrophosphorylase 2(UGP2)","UGP2"
"AT5G19760",0.34,0.001,"Mitochondrial substrate carrier family protein(AT5G19760)","AT5G19760"
"AT5G24120",0.34,0.0014,"sigma factor E(SIGE)","SIGE"
"AT5G57960",0.34,0.001,"GTP-binding protein, HflX(AT5G57960)","AT5G57960"
"AT1G01140",0.33,0.002,"CBL-interacting protein kinase 9(CIPK9)","CIPK9"
"AT1G06400",0.33,0.0017,"Ras-related small GTP-binding family protein(ARA-2)","ARA-2"
"AT1G07700",0.33,0.0018,"Thioredoxin superfamily protein(AT1G07700)","AT1G07700"
"AT1G08380",0.33,0.002,"photosystem I subunit O(PSAO)","PSAO"
"AT1G16080",0.33,0.0019,"nuclear protein(AT1G16080)","AT1G16080"
"AT1G16880",0.33,0.0019,"uridylyltransferase-like protein(ACR11)","ACR11"
"AT1G19835",0.33,0.002,"filament-like protein (DUF869)(AT1G19835)","AT1G19835"
"AT1G47260",0.33,0.0017,"gamma carbonic anhydrase 2(GAMMA CA2)","GAMMA CA2"
"AT1G49990",0.33,0.0018,"F-box family protein(AT1G49990)","AT1G49990"
"AT1G54780",0.33,0.0018,"thylakoid lumen 18.3 kDa protein(TLP18.3)","TLP18.3"
"AT1G55270",0.33,0.0017,"Galactose oxidase/kelch repeat superfamily protein(AT1G55270)","AT1G55270"
"AT1G56500",0.33,0.0018,"haloacid dehalogenase-like hydrolase family protein(AT1G56500)","AT1G56500"
"AT1G62960",0.33,0.0018,"ACC synthase 10(ACS10)","ACS10"
"AT1G68830",0.33,0.0014,"Serine/Threonine kinase domain protein(STN7)","STN7"
