"","gene","accession_idsorted","SRTM_elevation","annotation","symbol"
"15728","AT4G12240",9533,0.46,"zinc finger (C2H2 type) family protein(AT4G12240)","AT4G12240"
"23021","AT5G57570",9905,0.46,"GCK domain-containing protein(AT5G57570)","AT5G57570"
"1064","AT1G11755",9550,0.45,"Undecaprenyl pyrophosphate synthetase family protein(LEW1)","LEW1"
"16739","AT4G22350",9944,0.45,"Ubiquitin C-terminal hydrolases superfamily protein(AT4G22350)","AT4G22350"
"18060","AT4G35987",9871,0.45,"S-adenosyl-L-methionine-dependent methyltransferases superfamily protein(AT4G35987)","AT4G35987"
"20240","AT5G19920",6970,0.45,"Transducin/WD40 repeat-like superfamily protein(AT5G19920)","AT5G19920"
"20613","AT5G24570",6970,0.45,"hypothetical protein(AT5G24570)","AT5G24570"
"20710","AT5G25750",9871,0.45,"hypothetical protein(AT5G25750)","AT5G25750"
"21545","AT5G41835",9586,0.45,"hypothetical protein(AT5G41835)","AT5G41835"
"23276","AT5G60180",9584,0.45,"pumilio 19(PUM19)","PUM19"
"23722","AT5G64990",9598,0.45,"RAB GTPase homolog H1A(RABH1a)","RABH1a"
"1222","AT1G13370",9905,0.44,"Histone superfamily protein(AT1G13370)","AT1G13370"
"4253","AT1G59265",9533,0.44,"hypothetical protein(AT1G59265)","AT1G59265"
"6782","AT2G10253",9601,0.44,"hypothetical protein(AT2G10253)","AT2G10253"
"9649","AT2G44070",9531,0.44,"NagB/RpiA/CoA transferase-like superfamily protein(AT2G44070)","AT2G44070"
"10179","AT3G02240",9845,0.44,"root meristem growth factor-like protein(RGF7)","RGF7"
"11626","AT3G16760",9560,0.44,"Tetratricopeptide repeat (TPR)-like superfamily protein(AT3G16760)","AT3G16760"
"14855","AT4G00390",9584,0.44,"DNA-binding storekeeper protein-related transcriptional regulator(AT4G00390)","AT4G00390"
"16984","AT4G24920",9531,0.44,"secE/sec61-gamma protein transport protein(AT4G24920)","AT4G24920"
"17170","AT4G26810",9819,0.44,"SWIB/MDM2 domain superfamily protein(AT4G26810)","AT4G26810"
"17175","AT4G26870",9846,0.44,"Class II aminoacyl-tRNA and biotin synthetases superfamily protein(AT4G26870)","AT4G26870"
"17687","AT4G32205",9871,0.44,"hypothetical protein(AT4G32205)","AT4G32205"
"19750","AT5G14860",9593,0.44,"UDP-Glycosyltransferase superfamily protein(AT5G14860)","AT5G14860"
"21472","AT5G41030",9557,0.44,"TCP family transcription factor(AT5G41030)","AT5G41030"
"803","AT1G09176",9601,0.43,"transmembrane protein(AT1G09176)","AT1G09176"
"10234","AT3G02780",9567,0.43,"isopentenyl pyrophosphate:dimethylallyl pyrophosphate isomerase 2(IPP2)","IPP2"
"10893","AT3G09735",9846,0.43,"S1FA-like DNA-binding protein(AT3G09735)","AT3G09735"
"11877","AT3G19470",9844,0.43,"F-box and associated interaction domains-containing protein(AT3G19470)","AT3G19470"
"14222","AT3G57110",9845,0.43,"exonuclease V(AT3G57110)","AT3G57110"
"14309","AT3G58020",9557,0.43,"Chaperone DnaJ-domain superfamily protein(AT3G58020)","AT3G58020"
"16726","AT4G22240",9598,0.43,"Plastid-lipid associated protein PAP / fibrillin family protein(AT4G22240)","AT4G22240"
"17078","AT4G25840",9905,0.43,"glycerol-3-phosphatase 1(GPP1)","GPP1"
"21466","AT5G40970",9526,0.43,"hypothetical protein (DUF 3339)(AT5G40970)","AT5G40970"
"22517","AT5G52070",9518,0.43,"Agenet domain-containing protein(AT5G52070)","AT5G52070"
"23231","AT5G59680",9524,0.43,"Leucine-rich repeat protein kinase family protein(AT5G59680)","AT5G59680"
"23346","AT5G60950",9588,0.43,"COBRA-like protein 5 precursor(COBL5)","COBL5"
"448","AT1G05560",9531,0.42,"UDP-glucosyltransferase 75B1(UGT75B1)","UGT75B1"
"1839","AT1G19640",9522,0.42,"jasmonic acid carboxyl methyltransferase(JMT)","JMT"
"1892","AT1G20200",9819,0.42,"PAM domain (PCI/PINT associated module) protein(EMB2719)","EMB2719"
"2714","AT1G30480",9874,0.42,"D111/G-patch domain-containing protein(DRT111)","DRT111"
"2809","AT1G31580",9825,0.42,"ECS1(ECS1)","ECS1"
"3783","AT1G52560",9560,0.42,"HSP20-like chaperones superfamily protein(AT1G52560)","AT1G52560"
"4830","AT1G65760",9533,0.42,"ascorbic acid mannose pathway regulator (DUF295)(AT1G65760)","AT1G65760"
"6246","AT1G80500",9871,0.42,"SNARE-like superfamily protein(AT1G80500)","AT1G80500"
"6250","AT1G80540",9944,0.42,"envelope glycoprotein B(AT1G80540)","AT1G80540"
"6526","AT2G03690",9522,0.42,"coenzyme Q biosynthesis Coq4 family protein / ubiquinone biosynthesis Coq4 family protein(AT2G03690)","AT2G03690"
"11047","AT3G11270",9557,0.42,"Mov34/MPN/PAD-1 family protein(MEE34)","MEE34"
"14522","AT3G60550",9601,0.42,"cyclin p3;2(CYCP3;2)","CYCP3;2"
"15882","AT4G13840",9844,0.42,"HXXXD-type acyl-transferase family protein(AT4G13840)","AT4G13840"
"16241","AT4G16990",9550,0.42,"disease resistance protein (TIR-NBS class)(RLM3)","RLM3"
"16746","AT4G22460",9531,0.42,"Bifunctional inhibitor/lipid-transfer protein/seed storage 2S albumin superfamily protein(AT4G22460)","AT4G22460"
"19230","AT5G08770",9547,0.42,"topoisomerase I damage affected-like protein(AT5G08770)","AT5G08770"
"20299","AT5G20600",9844,0.42,"ribosomal RNA processing-like protein(AT5G20600)","AT5G20600"
"20968","AT5G30450",9587,0.42,"hypothetical protein(AT5G30450)","AT5G30450"
"2036","AT1G21790",9874,0.41,"TRAM, LAG1 and CLN8 (TLC) lipid-sensing domain containing protein(AT1G21790)","AT1G21790"
"2656","AT1G29840",9531,0.41,"alpha/beta-Hydrolases superfamily protein(AT1G29840)","AT1G29840"
"2822","AT1G31780",9518,0.41,"oligomeric golgi complex subunit(AT1G31780)","AT1G31780"
"3322","AT1G47250",9846,0.41,"20S proteasome alpha subunit F2(PAF2)","PAF2"
"3803","AT1G52730",9905,0.41,"Transducin/WD40 repeat-like superfamily protein(AT1G52730)","AT1G52730"
"4623","AT1G63670",9522,0.41,"hypothetical protein (DUF3741)(TRM12)","TRM12"
"4936","AT1G66980",9557,0.41,"suppressor of npr1-1 constitutive 4(SNC4)","SNC4"
"4981","AT1G67410",9819,0.41,"Exostosin family protein(AT1G67410)","AT1G67410"
"5191","AT1G69500",9855,0.41,"cytochrome P450, family 704, subfamily B, polypeptide 1(CYP704B1)","CYP704B1"
"5741","AT1G75200",6970,0.41,"flavodoxin family protein / radical SAM domain-containing protein(AT1G75200)","AT1G75200"
"6815","AT2G11410",9598,0.41,"hypothetical protein(AT2G11410)","AT2G11410"
"7920","AT2G26060",9526,0.41,"Transducin/WD40 repeat-like superfamily protein(emb1345)","emb1345"
"9021","AT2G37760",9825,0.41,"NAD(P)-linked oxidoreductase superfamily protein(AKR4C8)","AKR4C8"
"9622","AT2G43830",9567,0.41,"miscRNA(AT2G43830)","AT2G43830"
"10422","AT3G04717",9880,0.41,"miscRNA(AT3G04717)","AT3G04717"
"11479","AT3G15352",8357,0.41,"cytochrome c oxidase 17(COX17)","COX17"
"13372","AT3G48240",9845,0.41,"Octicosapeptide/Phox/Bem1p family protein(AT3G48240)","AT3G48240"
"14234","AT3G57230",9524,0.41,"AGAMOUS-like 16(AGL16)","AGL16"
"15380","AT4G07920",9905,0.41,"hypothetical protein(AT4G07920)","AT4G07920"
"16530","AT4G20040",9855,0.41,"Pectin lyase-like superfamily protein(AT4G20040)","AT4G20040"
"17668","AT4G31990",9550,0.41,"aspartate aminotransferase 5(ASP5)","ASP5"
"20300","AT5G20610",9845,0.41,"EEIG1/EHBP1 protein amino-terminal domain protein(AT5G20610)","AT5G20610"
"20700","AT5G25540",9593,0.41,"CTC-interacting domain 6(CID6)","CID6"
"21014","AT5G34830",9871,0.41,"hypothetical protein(AT5G34830)","AT5G34830"
"21171","AT5G37400",9586,0.41,"hypothetical protein (DUF577)(AT5G37400)","AT5G37400"
"21919","AT5G45550",9586,0.41,"Mob1/phocein family protein(MOB1-like)","MOB1-like"
"22046","AT5G46870",9533,0.41,"RNA-binding (RRM/RBD/RNP motifs) family protein(AT5G46870)","AT5G46870"
"22282","AT5G49330",9526,0.41,"myb domain protein 111(MYB111)","MYB111"
"22350","AT5G50030",9526,0.41,"Plant invertase/pectin methylesterase inhibitor superfamily protein(AT5G50030)","AT5G50030"
"23220","AT5G59600",9846,0.41,"Tetratricopeptide repeat (TPR)-like superfamily protein(AT5G59600)","AT5G59600"
"23583","AT5G63610",9587,0.41,"cyclin-dependent kinase E;1(CDKE;1)","CDKE;1"
"200","AT1G03040",9874,0.4,"basic helix-loop-helix (bHLH) DNA-binding superfamily protein(AT1G03040)","AT1G03040"
"214","AT1G03170",9550,0.4,"FANTASTIC four-like protein (DUF3049)(FAF2)","FAF2"
"620","AT1G07290",9543,0.4,"golgi nucleotide sugar transporter 2(GONST2)","GONST2"
"1911","AT1G20460",9533,0.4,"NADH-ubiquinone oxidoreductase chain(AT1G20460)","AT1G20460"
"2263","AT1G24470",9598,0.4,"beta-ketoacyl reductase 2(KCR2)","KCR2"
"2922","AT1G32940",6970,0.4,"Subtilase family protein(SBT3.5)","SBT3.5"
"3144","AT1G36580",9588,0.4,"hypothetical protein(AT1G36580)","AT1G36580"
"3215","AT1G43690",9601,0.4,"ubiquitin interaction motif-containing protein(AT1G43690)","AT1G43690"
"3358","AT1G47603",9871,0.4,"purine permease 19(PUP19)","PUP19"
"3637","AT1G50830",9518,0.4,"Aminotransferase-like, plant mobile domain family protein(AT1G50830)","AT1G50830"
"4149","AT1G56430",9526,0.4,"nicotianamine synthase 4(NAS4)","NAS4"
"6935","AT2G14720",9524,0.4,"vacuolar sorting receptor 4(VSR4)","VSR4"
"7305","AT2G19270",8357,0.4,"mitotic checkpoint protein PRCC-carboxy-term protein(AT2G19270)","AT2G19270"
"8414","AT2G31420",9832,0.4,"B3 domain protein (DUF313)(AT2G31420)","AT2G31420"
"9529","AT2G42900",9819,0.4,"Plant basic secretory protein (BSP) family protein(AT2G42900)","AT2G42900"
"9604","AT2G43640",9871,0.4,"Signal recognition particle, SRP9/SRP14 subunit(AT2G43640)","AT2G43640"
"11044","AT3G11240",9543,0.4,"arginine-tRNA protein transferase 2(ATE2)","ATE2"
"11619","AT3G16700",9526,0.4,"Fumarylacetoacetate (FAA) hydrolase family(AT3G16700)","AT3G16700"
"11863","AT3G19320",9557,0.4,"Leucine-rich repeat (LRR) family protein(AT3G19320)","AT3G19320"
"12063","AT3G21352",9533,0.4,"transmembrane protein(AT3G21352)","AT3G21352"
"13044","AT3G44410",9524,0.4,"miscRNA(AT3G44410)","AT3G44410"
"13406","AT3G48540",9845,0.4,"Cytidine/deoxycytidylate deaminase family protein(AT3G48540)","AT3G48540"
"13437","AT3G48850",9825,0.4,"phosphate transporter 3;2(PHT3;2)","PHT3;2"
"13638","AT3G51010",9598,0.4,"protein translocase subunit(AT3G51010)","AT3G51010"
"13774","AT3G52420",9598,0.4,"outer envelope membrane protein 7(OEP7)","OEP7"
"13794","AT3G52610",9531,0.4,"GATA zinc finger protein(AT3G52610)","AT3G52610"
"13872","AT3G53490",9586,0.4,"valine-tRNA ligase(AT3G53490)","AT3G53490"
"13892","AT3G53720",9518,0.4,"cation/H+ exchanger 20(CHX20)","CHX20"
"15682","AT4G11680",9871,0.4,"Zinc finger, C3HC4 type (RING finger) family protein(AT4G11680)","AT4G11680"
"15890","AT4G13918",9944,0.4,"ncRNA(AT4G13918)","AT4G13918"
"17255","AT4G27670",9526,0.4,"heat shock protein 21(HSP21)","HSP21"
"18073","AT4G36120",9543,0.4,"filament-like protein (DUF869)(AT4G36120)","AT4G36120"
"18412","AT4G39550",9533,0.4,"Galactose oxidase/kelch repeat superfamily protein(AT4G39550)","AT4G39550"
"20199","AT5G19490",9846,0.4,"Histone superfamily protein(AT5G19490)","AT5G19490"
"20229","AT5G19830",9825,0.4,"Peptidyl-tRNA hydrolase family protein(AT5G19830)","AT5G19830"
"20342","AT5G21050",8357,0.4,"hyccin(AT5G21050)","AT5G21050"
"21858","AT5G44940",9825,0.4,"F-box/RNI-like superfamily protein(AT5G44940)","AT5G44940"
"22194","AT5G48430",9593,0.4,"Eukaryotic aspartyl protease family protein(AT5G48430)","AT5G48430"
"22723","AT5G54400",9526,0.4,"S-adenosyl-L-methionine-dependent methyltransferases superfamily protein(AT5G54400)","AT5G54400"
"23567","AT5G63460",8357,0.4,"SAP domain-containing protein(AT5G63460)","AT5G63460"
"23885","AT5G66562",9567,0.4,"ncRNA(AT5G66562)","AT5G66562"
"562","AT1G06690",9588,0.39,"NAD(P)-linked oxidoreductase superfamily protein(AT1G06690)","AT1G06690"
"1026","AT1G11370",9531,0.39,"Pectin lyase-like superfamily protein(AT1G11370)","AT1G11370"
"2231","AT1G24145",9819,0.39,"transmembrane protein(AT1G24145)","AT1G24145"
"2642","AT1G29715",9845,0.39,"miscRNA(AT1G29715)","AT1G29715"
"2780","AT1G31190",9855,0.39,"myo-inositol monophosphatase like 1(IMPL1)","IMPL1"
"2868","AT1G32240",9568,0.39,"Homeodomain-like superfamily protein(KAN2)","KAN2"
"3198","AT1G43060",9524,0.39,"hypothetical protein(AT1G43060)","AT1G43060"
"3447","AT1G48610",9586,0.39,"AT hook motif-containing protein(AT1G48610)","AT1G48610"
"3932","AT1G54095",9845,0.39,"DUF1677 family protein, putative (DUF1677)(AT1G54095)","AT1G54095"
"5413","AT1G71920",9560,0.39,"HISTIDINE BIOSYNTHESIS 6B(HISN6B)","HISN6B"
"5982","AT1G77750",9522,0.39,"Ribosomal protein S13/S18 family(AT1G77750)","AT1G77750"
"6108","AT1G79030",9846,0.39,"Chaperone DnaJ-domain superfamily protein(AT1G79030)","AT1G79030"
"6131","AT1G79260",9586,0.39,"nitrobindin heme-binding domain protein(AT1G79260)","AT1G79260"
"6252","AT1G80555",8357,0.39,"Isocitrate/isopropylmalate dehydrogenase family protein(AT1G80555)","AT1G80555"
"6486","AT2G03210",9880,0.39,"fucosyltransferase 2(FUT2)","FUT2"
"7518","AT2G21450",9550,0.39,"chromatin remodeling 34(CHR34)","CHR34"
"7817","AT2G24910",9524,0.39,"hypothetical protein(AT2G24910)","AT2G24910"
"8328","AT2G30580",9531,0.39,"DREB2A-interacting protein 2(DRIP2)","DRIP2"
"9020","AT2G37750",9819,0.39,"hypothetical protein(AT2G37750)","AT2G37750"
"9179","AT2G39410",9557,0.39,"alpha/beta-Hydrolases superfamily protein(AT2G39410)","AT2G39410"
"9336","AT2G40920",9944,0.39,"F-box and associated interaction domains-containing protein(AT2G40920)","AT2G40920"
"9859","AT2G46210",9560,0.39,"Fatty acid/sphingolipid desaturase(SLD2)","SLD2"
"9937","AT2G46920",9819,0.39,"Protein phosphatase 2C family protein(POL)","POL"
"11008","AT3G10850",9531,0.39,"Metallo-hydrolase/oxidoreductase superfamily protein(GLY2)","GLY2"
"12734","AT3G28750",9944,0.39,"hypothetical protein(AT3G28750)","AT3G28750"
"13707","AT3G51710",9601,0.39,"D-mannose binding lectin protein with Apple-like carbohydrate-binding domain-containing protein(AT3G51710)","AT3G51710"
"14067","AT3G55500",9533,0.39,"expansin A16(EXPA16)","EXPA16"
"14138","AT3G56250",9550,0.39,"hypothetical protein(AT3G56250)","AT3G56250"
"14510","AT3G60410",9547,0.39,"hypothetical protein (DUF1639)(AT3G60410)","AT3G60410"
"14620","AT3G61560",9588,0.39,"Reticulon family protein(AT3G61560)","AT3G61560"
"15951","AT4G14440",9845,0.39,"3-hydroxyacyl-CoA dehydratase 1(HCD1)","HCD1"
"16158","AT4G16265",9871,0.39,"RNA polymerases M/15 Kd subunit(NRPB9B)","NRPB9B"
"16976","AT4G24820",9905,0.39,"26S proteasome regulatory subunit Rpn7(AT4G24820)","AT4G24820"
"17309","AT4G28220",9844,0.39,"NAD(P)H dehydrogenase B1(NDB1)","NDB1"
"17684","AT4G32180",9845,0.39,"pantothenate kinase 2(PANK2)","PANK2"
"17711","AT4G32400",9593,0.39,"Mitochondrial substrate carrier family protein(SHS1)","SHS1"
"18100","AT4G36480",8357,0.39,"long-chain base1(LCB1)","LCB1"
"18274","AT4G38150",9526,0.39,"Pentatricopeptide repeat (PPR) superfamily protein(AT4G38150)","AT4G38150"
"19512","AT5G12010",9593,0.39,"nuclease(AT5G12010)","AT5G12010"
"20524","AT5G23690",9567,0.39,"Polynucleotide adenylyltransferase family protein(AT5G23690)","AT5G23690"
"20729","AT5G25960",9584,0.39,"AslB (DUF239)(AT5G25960)","AT5G25960"
"20739","AT5G26110",9844,0.39,"Protein kinase superfamily protein(AT5G26110)","AT5G26110"
"21648","AT5G42860",9587,0.39,"late embryogenesis abundant protein, group 2(AT5G42860)","AT5G42860"
"21731","AT5G43750",9905,0.39,"NAD(P)H dehydrogenase 18(PnsB5)","PnsB5"
"21997","AT5G46360",9845,0.39,"Ca2+ activated outward rectifying K+ channel 3(KCO3)","KCO3"
"22195","AT5G48440",9598,0.39,"FAD-dependent oxidoreductase family protein(AT5G48440)","AT5G48440"
"22649","AT5G53530",9944,0.39,"vacuolar protein sorting 26A(VPS26A)","VPS26A"
"22953","AT5G56930",9880,0.39,"CCCH-type zinc finger family protein(EMB1789)","EMB1789"
"23087","AT5G58220",9874,0.39,"transthyretin-like protein(TTL)","TTL"
"23173","AT5G59140",9568,0.39,"BTB/POZ domain-containing protein(AT5G59140)","AT5G59140"
"23551","AT5G63260",9593,0.39,"Zinc finger C-x8-C-x5-C-x3-H type family protein(AT5G63260)","AT5G63260"
"349","AT1G04555",9547,0.38,"transmembrane protein(AT1G04555)","AT1G04555"
"2377","AT1G26750",9905,0.38,"hypothetical protein(AT1G26750)","AT1G26750"
"2624","AT1G29490",9543,0.38,"SAUR-like auxin-responsive protein family(AT1G29490)","AT1G29490"
"2766","AT1G31010",9568,0.38,"organellar single-stranded DNA binding protein 4(OSB4)","OSB4"
"2823","AT1G31790",9522,0.38,"Tetratricopeptide repeat (TPR)-like superfamily protein(AT1G31790)","AT1G31790"
"3982","AT1G54650",9543,0.38,"Methyltransferase family protein(AT1G54650)","AT1G54650"
"4006","AT1G54980",9905,0.38,"Plant invertase/pectin methylesterase inhibitor superfamily protein(AT1G54980)","AT1G54980"
"4136","AT1G56270",9845,0.38,"RPB1a(AT1G56270)","AT1G56270"
"4492","AT1G62305",9543,0.38,"Core-2/I-branching beta-1,6-N-acetylglucosaminyltransferase family protein(AT1G62305)","AT1G62305"
"4811","AT1G65520",9819,0.38,"delta(3), delta(2)-enoyl CoA isomerase 1(ECI1)","ECI1"
"6154","AT1G79520",9526,0.38,"Cation efflux family protein(AT1G79520)","AT1G79520"
"6208","AT1G80060",9844,0.38,"Ubiquitin-like superfamily protein(AT1G80060)","AT1G80060"
"6307","AT2G01100",9819,0.38,"FAM133-like protein(AT2G01100)","AT2G01100"
"6512","AT2G03510",9825,0.38,"SPFH/Band 7/PHB domain-containing membrane-associated protein family(AT2G03510)","AT2G03510"
"6570","AT2G04240",9567,0.38,"RING/U-box superfamily protein(XERICO)","XERICO"
"7326","AT2G19530",9819,0.38,"transmembrane protein(AT2G19530)","AT2G19530"
"7869","AT2G25520",9819,0.38,"Drug/metabolite transporter superfamily protein(AT2G25520)","AT2G25520"
"9193","AT2G39518",9844,0.38,"Uncharacterized protein family (UPF0497)(AT2G39518)","AT2G39518"
"9353","AT2G41082",9586,0.38,"hypothetical protein(AT2G41082)","AT2G41082"
"9746","AT2G45060",8357,0.38,"alanine-tRNA ligase(AT2G45060)","AT2G45060"
"10098","AT3G01450",9567,0.38,"ARM repeat superfamily protein(AT3G01450)","AT3G01450"
"10174","AT3G02190",9601,0.38,"Ribosomal protein L39 family protein(AT3G02190)","AT3G02190"
"10537","AT3G05820",9550,0.38,"invertase H(INVH)","INVH"
"10689","AT3G07250",9845,0.38,"RNA-binding (RRM-RBD-RNP motif) domain nuclear transport factor 2 family protein(AT3G07250)","AT3G07250"
"10894","AT3G09740",9855,0.38,"syntaxin of plants 71(SYP71)","SYP71"
"11242","AT3G13210",9518,0.38,"crooked neck protein, putative / cell cycle protein(AT3G13210)","AT3G13210"
"11248","AT3G13230",9543,0.38,"RNA-binding KH domain-containing protein(AT3G13230)","AT3G13230"
"11543","AT3G15940",9880,0.38,"UDP-Glycosyltransferase superfamily protein(AT3G15940)","AT3G15940"
"12363","AT3G24780",8357,0.38,"Uncharacterized conserved protein UCP015417, vWA(AT3G24780)","AT3G24780"
"12539","AT3G26720",9533,0.38,"Glycosyl hydrolase family 38 protein(AT3G26720)","AT3G26720"
"12748","AT3G28917",9567,0.38,"mini zinc finger 2(MIF2)","MIF2"
"13003","AT3G43870",9880,0.38,"hypothetical protein(AT3G43870)","AT3G43870"
"13560","AT3G50170",9550,0.38,"transmembrane protein, putative (DUF247)(AT3G50170)","AT3G50170"
"13954","AT3G54363",9874,0.38,"hypothetical protein(AT3G54363)","AT3G54363"
"14117","AT3G56030",9825,0.38,"Tetratricopeptide repeat (TPR)-like superfamily protein(AT3G56030)","AT3G56030"
"14718","AT3G62590",9568,0.38,"alpha/beta-Hydrolases superfamily protein(AT3G62590)","AT3G62590"
"15775","AT4G12735",9598,0.38,"hypothetical protein(AT4G12735)","AT4G12735"
"16179","AT4G16460",9586,0.38,"zinc finger CCCH domain protein(AT4G16460)","AT4G16460"
"16758","AT4G22560",9588,0.38,"sulfated surface-like glycoprotein(AT4G22560)","AT4G22560"
"17975","AT4G35080",9560,0.38,"high-affinity nickel-transport family protein(AT4G35080)","AT4G35080"
"18111","AT4G36600",9560,0.38,"Late embryogenesis abundant (LEA) protein(AT4G36600)","AT4G36600"
"18472","AT5G01010",9944,0.38,"retinal-binding protein(AT5G01010)","AT5G01010"
"18496","AT5G01230",9825,0.38,"S-adenosyl-L-methionine-dependent methyltransferases superfamily protein(AT5G01230)","AT5G01230"
"18799","AT5G04270",9598,0.38,"DHHC-type zinc finger family protein(AT5G04270)","AT5G04270"
"19005","AT5G06430",9819,0.38,"Thioredoxin superfamily protein(AT5G06430)","AT5G06430"
"19377","AT5G10625",9598,0.38,"flowering-promoting factor-like protein(AT5G10625)","AT5G10625"
"20925","AT5G28430",9543,0.38,"hypothetical protein(AT5G28430)","AT5G28430"
"21370","AT5G39950",9557,0.38,"thioredoxin 2(TRX2)","TRX2"
"21423","AT5G40530",9874,0.38,"S-adenosyl-L-methionine-dependent methyltransferases superfamily protein(AT5G40530)","AT5G40530"
"22598","AT5G53010",9584,0.38,"calcium-transporting ATPase(AT5G53010)","AT5G53010"
"22800","AT5G55200",9568,0.38,"Co-chaperone GrpE family protein(MGE1)","MGE1"
"24106","ATMG00120",9874,0.38,"ORF143","ORF143"
"215","AT1G03180",9557,0.37,"non-structural protein(AT1G03180)","AT1G03180"
"738","AT1G08470",9832,0.37,"strictosidine synthase-like 3(SSL3)","SSL3"
"945","AT1G10580",9846,0.37,"Transducin/WD40 repeat-like superfamily protein(AT1G10580)","AT1G10580"
"1941","AT1G20770",9522,0.37,"coiled-coil protein(AT1G20770)","AT1G20770"
"2022","AT1G21651",9586,0.37,"zinc ion binding protein(AT1G21651)","AT1G21651"
"2183","AT1G23470",9533,0.37,"miscRNA(AT1G23470)","AT1G23470"
